Date,Open,High,Low,Close,Adj Close,Volume
2025-08-01,73.44000244140625,74.69999694824219,72.52999877929688,74.62000274658203,73.27691650390625,11911600
2025-08-04,75.02999877929688,75.26000213623047,74.16000366210938,74.81999969482422,73.47331237792969,8839000
2025-08-05,74.91000366210938,75.70999908447266,74.23999786376953,74.37999725341797,73.04122924804688,6533800
2025-08-06,74.47000122070312,75.9800033569336,74.25,75.4800033569336,74.1214370727539,7579800
2025-08-07,76.31999969482422,76.3499984741211,74.0,74.3499984741211,73.01177215576172,8717600
2025-08-08,74.19999694824219,74.95999908447266,73.38999938964844,74.19000244140625,72.85465240478516,6739000
2025-08-11,74.31999969482422,74.79000091552734,73.05000305175781,74.0199966430664,72.68770599365234,6985700
2025-08-12,74.72000122070312,75.72000122070312,74.33999633789062,74.9000015258789,73.55187225341797,6397700
2025-08-13,75.4800033569336,77.69000244140625,75.19000244140625,77.19999694824219,75.81047821044922,13472600
2025-08-14,75.91000366210938,76.5999984741211,75.3499984741211,76.38999938964844,75.01505279541016,7990500
2025-08-15,76.73999786376953,77.5,76.16000366210938,76.97000122070312,75.5846176147461,9767700
2025-08-18,77.11000061035156,78.26000213623047,76.8499984741211,77.43000030517578,76.03633880615234,9069100
2025-08-19,78.19999694824219,78.79000091552734,76.68000030517578,76.87999725341797,75.49623107910156,7684800
2025-08-20,76.69000244140625,77.55999755859375,76.16000366210938,76.26000213623047,74.88739776611328,6282600
2025-08-21,75.69999694824219,76.2300033569336,75.12999725341797,76.18000030517578,74.808837890625,6354900
2025-08-22,76.54000091552734,79.13999938964844,76.25,78.37999725341797,76.96923065185547,10985900
2025-08-25,78.47000122070312,80.16999816894531,78.38999938964844,79.16999816894531,77.7450180053711,12488900
2025-08-26,79.0,79.4800033569336,78.37999725341797,78.6500015258789,77.234375,6874800
2025-08-27,78.95999908447266,79.51000213623047,77.6500015258789,78.05999755859375,76.65499877929688,12636700
2025-08-28,78.58000183105469,78.66000366210938,77.72000122070312,77.91999816894531,76.51750946044922,7478600
2025-08-29,77.75,79.12999725341797,77.12000274658203,77.37000274658203,75.9774169921875,14208800
2025-09-02,75.63999938964844,76.05000305175781,74.0,74.29000091552734,73.33197784423828,15078700
2025-09-03,74.4000015258789,75.18000030517578,73.91000366210938,74.73999786376953,73.77616882324219,8300100
2025-09-04,74.75,75.7699966430664,74.51000213623047,75.3499984741211,74.37830352783203,11096200
2025-09-05,74.80000305175781,75.41000366210938,73.62999725341797,73.91000366210938,72.95687866210938,13758400
2025-09-08,74.26000213623047,74.58000183105469,73.70999908447266,74.1500015258789,73.19378662109375,13793300
2025-09-09,73.98999786376953,74.55000305175781,73.05000305175781,73.5999984741211,72.65087127685547,8740200
2025-09-10,75.25,75.45999908447266,73.33000183105469,74.25,73.29249572753906,11359300
2025-09-11,74.41000366210938,75.52999877929688,74.01000213623047,74.33000183105469,73.3714599609375,9803400
2025-09-12,74.23999786376953,74.27999877929688,71.93000030517578,73.0,72.05860900878906,11806000
2025-09-15,73.18000030517578,73.20999908447266,72.58000183105469,73.02999877929688,72.08822631835938,10323800
2025-09-16,72.80000305175781,73.37999725341797,72.08999633789062,72.75,71.81183624267578,8813600
2025-09-17,73.06999969482422,73.31999969482422,71.61000061035156,72.30999755859375,71.37751007080078,11108700
2025-09-18,73.44000244140625,73.5999984741211,71.62999725341797,72.0999984741211,71.17021179199219,14918400
2025-09-19,72.01000213623047,72.25,70.73999786376953,70.88999938964844,69.97582244873047,33415600
2025-09-22,70.79000091552734,72.48999786376953,70.43000030517578,71.27999877929688,70.36079406738281,12336300
2025-09-23,71.56999969482422,72.41999816894531,70.7300033569336,70.93000030517578,70.01530456542969,10432400
2025-09-24,70.66999816894531,71.52999877929688,70.44999694824219,71.22000122070312,70.30156707763672,10024500
2025-09-25,71.16000366210938,71.16000366210938,69.05000305175781,69.23999786376953,68.34709167480469,13075300
2025-09-26,69.37999725341797,69.44000244140625,68.02999877929688,69.30999755859375,68.41619110107422,15627600
2025-09-29,69.7699966430664,69.95999908447266,68.73999786376953,69.55000305175781,68.65310668945312,18479300
2025-09-30,70.06999969482422,70.20999908447266,68.81999969482422,69.7300033569336,68.8307876586914,40567700
2025-10-01,74.3499984741211,74.69000244140625,71.61000061035156,74.19999694824219,73.24313354492188,57921900
2025-10-02,75.0,76.97000122070312,73.87999725341797,74.56999969482422,73.60836791992188,26254400
2025-10-03,74.77999877929688,74.77999877929688,71.91999816894531,71.93000030517578,71.00241088867188,18794900
2025-10-06,72.0199966430664,72.38999938964844,71.01000213623047,71.16999816894531,70.25221252441406,14039600
2025-10-07,71.2300033569336,71.58000183105469,68.9000015258789,68.91000366210938,68.0213623046875,17368000
2025-10-08,68.91000366210938,69.43000030517578,68.66999816894531,69.08999633789062,68.19902801513672,13051800
2025-10-09,69.55000305175781,69.66000366210938,67.88999938964844,68.05999755859375,67.18231964111328,13410900
2025-10-10,68.18000030517578,68.48999786376953,64.87999725341797,65.22000122070312,64.37894439697266,18806100
2025-10-13,65.69999694824219,67.5199966430664,65.55000305175781,67.37999725341797,66.5110855102539,13191200
2025-10-14,66.47000122070312,68.0,66.05999755859375,67.63999938964844,66.76773071289062,9483700
2025-10-15,68.58000183105469,69.52999877929688,68.12999725341797,68.45999908447266,67.57715606689453,13001500
2025-10-16,68.5999984741211,69.04000091552734,66.58000183105469,66.83999633789062,65.97804260253906,15349700
2025-10-17,66.62999725341797,67.7699966430664,66.31999969482422,67.37000274658203,66.50121307373047,10054000
2025-10-20,67.55999755859375,68.18000030517578,67.47000122070312,67.62000274658203,66.74799346923828,9670000
2025-10-21,67.75,69.29000091552734,67.41000366210938,68.36000061035156,67.47844696044922,9659200
2025-10-22,68.22000122070312,69.36000061035156,67.95999908447266,69.08000183105469,68.18917083740234,8096100
2025-10-23,69.08999633789062,69.88999938964844,68.73999786376953,69.68000030517578,68.78143310546875,9124900
2025-10-24,69.70999908447266,70.08000183105469,68.91000366210938,69.11000061035156,68.21878051757812,7102900
2025-10-27,70.04000091552734,70.44000244140625,68.26000213623047,68.58999633789062,67.70548248291016,9838100
2025-10-28,68.11000061035156,68.61000061035156,67.05000305175781,67.43000030517578,66.56044006347656,11262400
2025-10-29,67.01000213623047,67.19000244140625,64.94999694824219,65.3499984741211,64.50726318359375,15143100
2025-10-30,65.18000030517578,66.0,64.56999969482422,64.9000015258789,64.06306457519531,13895200
2025-10-31,65.0,65.25,64.25,64.58999633789062,63.75706100463867,17822500
2025-11-03,64.72000122070312,64.8499984741211,62.34000015258789,62.650001525878906,61.84208297729492,22633300
2025-11-04,62.41999816894531,62.59000015258789,61.119998931884766,61.22999954223633,60.440391540527344,13725400
2025-11-05,61.279998779296875,62.849998474121094,60.86000061035156,62.11000061035156,61.30904769897461,20979800
2025-11-06,61.880001068115234,62.47999954223633,61.66999816894531,61.88999938964844,61.09188461303711,15164600
2025-11-07,61.7400016784668,62.18000030517578,60.290000915527344,61.09000015258789,60.30220031738281,15504800
2025-11-10,61.75,62.09000015258789,60.4900016784668,60.79999923706055,60.01594161987305,13063100
2025-11-11,61.72999954223633,63.599998474121094,61.2400016784668,63.150001525878906,62.33563995361328,17646400
2025-11-12,64.0999984741211,65.19000244140625,63.7400016784668,64.19999694824219,63.37208938598633,14812200
2025-11-13,65.70999908447266,66.26000213623047,64.87999725341797,66.02999877929688,65.17849731445312,21923600
2025-11-14,64.94000244140625,65.05999755859375,63.75,64.16999816894531,63.34247970581055,17760100
2025-11-17,63.06999969482422,63.540000915527344,62.2599983215332,62.900001525878906,62.08885955810547,17064700
2025-11-18,62.400001525878906,62.7599983215332,61.68000030517578,62.4900016784668,61.68414688110352,14614600
2025-11-19,62.43000030517578,63.220001220703125,62.0099983215332,62.63999938964844,61.83221435546875,11732100
2025-11-20,62.95000076293945,63.83000183105469,61.40999984741211,61.43000030517578,60.6378173828125,13886600
2025-11-21,62.0099983215332,63.5,61.540000915527344,62.79999923706055,61.99015045166016,12476900
2025-11-24,62.5099983215332,63.06999969482422,61.93000030517578,61.93000030517578,61.13136672973633,16681700
2025-11-25,62.34000015258789,64.12000274658203,61.869998931884766,63.68000030517578,62.85879898071289,11527200
2025-11-26,63.5,64.87000274658203,62.970001220703125,64.33000183105469,63.50041961669922,13791000
2025-11-28,64.47000122070312,64.77999877929688,63.970001220703125,64.62999725341797,63.79655075073242,4941400
2025-12-01,63.77000045776367,65.98999786376953,63.58000183105469,65.38999938964844,64.95883178710938,12047300
2025-12-02,65.44999694824219,65.47000122070312,64.58000183105469,64.93000030517578,64.50186920166016,9051200
2025-12-03,65.08000183105469,66.66000366210938,64.9800033569336,65.6500015258789,65.21711730957031,12028300
2025-12-04,65.5999984741211,66.0999984741211,65.01000213623047,65.69000244140625,65.2568588256836,10619500
2025-12-05,65.69999694824219,66.08000183105469,64.87999725341797,65.86000061035156,65.42573547363281,10917900
2025-12-08,65.5999984741211,65.80000305175781,63.27000045776367,63.540000915527344,63.12103271484375,12867300
2025-12-09,63.5099983215332,63.95000076293945,62.970001220703125,63.33000183105469,62.91241836547851,9300200
2025-12-10,63.97999954223633,66.1500015258789,63.7599983215332,65.79000091552734,65.35619354248047,20302100
2025-12-11,65.83000183105469,67.81999969482422,65.55999755859375,67.73999786376953,67.2933349609375,16153500
2025-12-12,68.16999816894531,69.13999938964844,67.12000274658203,67.47000122070312,67.0251235961914,14829200
2025-12-15,67.41000366210938,68.3499984741211,66.69000244140625,67.77999877929688,67.33307647705078,15287500
2025-12-16,67.29000091552734,68.19999694824219,66.73999786376953,67.12000274658203,66.67742919921875,16376700
2025-12-17,66.55999755859375,66.83000183105469,65.62000274658203,65.69000244140625,65.2568588256836,13205500
2025-12-18,66.01000213623047,67.0,65.4000015258789,65.62999725341797,65.19725036621094,35650000
2025-12-19,59.20000076293945,60.380001068115234,58.220001220703125,58.709999084472656,58.322879791259766,108652700
2025-12-22,58.9900016784668,59.08000183105469,57.13999938964844,57.220001220703125,56.84270477294922,38695900
2025-12-23,57.18000030517578,57.599998474121094,56.9900016784668,57.34000015258789,56.9619140625,23276700
2025-12-24,58.880001068115234,60.58000183105469,58.880001068115234,60.0,59.604373931884766,36073300
2025-12-26,60.0,60.93000030517578,59.86000061035156,60.93000030517578,60.52824401855469,22303600
2025-12-29,60.540000915527344,61.75,60.5099983215332,61.209999084472656,60.806396484375,18062100
2025-12-30,61.29999923706055,61.29999923706055,60.63999938964844,61.189998626708984,60.78652572631836,13507800
2025-12-31,62.25,64.19999694824219,61.91999816894531,63.709999084472656,63.28990936279297,35457400
